"TOA5","TEST_SITE","CR3000","1234","CR3000.Std.28","CPU:TESTPROG.CR3","57003","test_data"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Batt_Volt_Avg","BP_mbar_Avg","h2o_Avg","co2_Avg","Ts_Avg","Ux_Avg","Uy_Avg","Uz_Avg"
"TS","RN","Deg C","%","Volts","mbar","g/m^3","mg/m^3","C","m/s","m/s","m/s"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2015-06-17 00:10:00",937,10.77,66.68,12.78,611.4627,6.869191,750.8013,11.81642,-0.3782,-0.1735,-0.0209
"2015-06-17 00:20:00",938,11.49,67.91,12.78,607.1327,6.911269,753.7286,11.69063,-0.387725,-0.1801,-0.076625
"2015-06-17 00:30:00",939,11.32,68.46,12.79,613.945,6.894511,752.365,11.64819,-0.5036,-0.154825,-0.13625
"2015-06-17 00:40:00",940,10.66,68.58,12.78,506.854,6.909556,753.8694,11.49783,-0.42925,-0.28075,-0.15695
"2015-06-17 00:50:00",941,11.14,69.43,12.78,599.1461,6.916289,754.4788,11.43928,-0.335575,-0.2591,0.04975
"2015-06-17 01:00:00",942,10.73,70.46,12.79,600.2015,6.954503,751.9494,11.24626,-0.17115,-0.10725,0.018125
"2015-06-17 01:10:00",943,9.94,71.53,12.79,589.0713,6.988812,752.2955,11.09235,-0.278325,-0.24575,0.047375
"2015-06-17 01:20:00",944,9.03,72.92,12.78,603.7025,7.023406,756.1915,10.77534,-0.225175,-0.328925,-0.046525
"2015-06-17 01:30:00",945,10.04,74.52,12.78,649.5194,7.048381,757.3787,10.70187,-0.160225,-0.2148,-0.054325
"2015-06-17 01:40:00",946,9.13,75.24,12.79,610.7471,7.050283,758.0663,10.56444,-0.220675,-0.12655,0.015475
"2015-06-17 01:50:00",947,7.771,74.92,12.78,602.5509,7.043884,759.4464,10.33579,-0.32225,0.002875004,0.02215
"2015-06-17 02:00:00",948,8.27,77.24,12.78,556.4574,7.076732,761.9896,9.884552,-0.024025,-0.34735,0.005575001
"2015-06-17 02:10:00",949,8.18,79.39,12.79,593.9876,7.114488,761.8962,9.841513,0.0007999979,-0.156325,-0.038575
"2015-06-17 02:20:00",950,7.223,80.1,12.78,610.2685,7.137946,763.632,10.01112,-0.2858,-0.134775,-0.02485
"2015-06-17 02:30:00",951,7.361,79.4,12.77,570.9016,7.161487,769.3124,9.753469,-0.4275,-0.15685,-0.040175
"2015-06-17 02:40:00",952,7.216,80.6,12.78,651.06,7.169552,772.9403,9.484045,-0.230225,-0.246,-0.0116
"2015-06-17 02:50:00",953,7.818,81.1,12.79,623.7517,7.159954,769.9354,9.562719,-0.20435,-0.116875,0.020375
"2015-06-17 03:00:00",954,7.847,81.8,12.79,524.2366,7.161522,772.512,9.351941,-0.175525,-0.26775,-0.0361
"2015-06-17 03:10:00",955,7.295,82.2,12.79,550.1425,7.197198,773.3477,9.468768,-0.22555,-0.140025,-0.08235
"2015-06-17 03:20:00",956,7.702,82.8,12.78,629.5308,7.226842,777.8991,9.230664,-0.273125,-0.1673,-0.080675
"2015-06-17 03:30:00",957,6.847,83.4,12.79,598.6299,7.239848,778.3591,9.144669,-0.449375,-0.019475,-0.06845
"2015-06-17 03:40:00",958,7.068,83.6,12.78,619.8312,7.248202,777.4246,9.244229,-0.2426,-0.0576,-0.062175
"2015-06-17 03:50:00",959,6.801,84,12.79,686.3658,7.260984,778.6417,9.131735,-0.120225,-0.2698,-0.046625
"2015-06-17 04:00:00",960,6.444,84.9,12.78,608.7311,7.265854,779.5189,8.990799,-0.051075,-0.2219,-0.0009749994
"2015-06-17 04:10:00",961,6.146,86,12.78,601.668,7.289308,780.0001,8.802496,0.0763,-0.1865,0.001475
"2015-06-17 04:20:00",962,6.252,87,12.78,547.5267,7.295632,778.491,8.868161,-0.004449998,-0.2905,0.02295
"2015-06-17 04:30:00",963,6.285,85.7,12.78,562.5861,7.295598,775.4402,8.996149,-0.248175,-0.416875,0.0176
"2015-06-17 04:40:00",964,6.618,84.7,12.78,622.0268,7.31575,775.4728,8.995715,-0.112625,-0.519925,0.113025
"2015-06-17 04:50:00",965,7.584,82.2,12.77,547.4829,7.359981,771.2784,9.564044,-0.367425,-0.635275,0.036875
"2015-06-17 05:00:00",966,7.663,79.77,12.78,538.3826,7.393519,771.0682,9.794055,-0.72325,-0.651125,-0.05605
"2015-06-17 05:10:00",967,9.24,78.56,12.78,531.0351,7.407168,770.2753,10.14615,-0.392625,-0.6083,0.01
"2015-06-17 05:20:00",968,9.42,78.07,12.78,584.9786,7.47799,768.3531,10.36176,-0.614025,-0.7195,0.086475
"2015-06-17 05:30:00",969,9.96,76.23,12.78,585.1587,7.498525,764.1716,10.85386,-0.3589,-0.7464,0.1109
"2015-06-17 05:40:00",970,10.91,74.4,12.78,524.6624,7.557744,761.1549,11.33709,-0.18315,-0.561625,-0.0472
"2015-06-17 05:50:00",971,10.69,72.45,12.78,654.3029,7.595746,757.6829,11.66281,-0.292075,-0.623225,-0.161525
"2015-06-17 06:00:00",972,10.86,72.53,12.79,557.58,7.57623,756.4223,11.73818,-0.43665,-1.2572,-0.1518
"2015-06-17 06:10:00",973,11.62,71.16,12.78,635.2934,7.582256,753.2059,12.31374,-0.788825,-0.919625,-0.107575
"2015-06-17 06:20:00",974,12.17,69.6,12.79,651.6959,7.647456,750.8248,12.61827,-0.4006,-0.8701,0.2465
